order_detail_id,order_id,product_id,quantity,discount,revenue,profit
41,192,171,2,0.34,2228.390702938511,447.71070293851096
42,1987,127,2,0.13,2436.022537118176,273.2025371181761
43,1576,162,2,0.16,3508.4458162864203,1421.8858162864203
44,1266,30,2,0.17,312.8173908069713,43.89739080697128
45,138,71,3,0.25,3458.215291115674,1505.2152911156736
46,345,198,3,0.11,5542.363714840715,520.093714840715
47,1204,118,4,0.39,7556.493617425253,3342.6136174252533
48,1009,55,3,0.24,1140.7812096733207,424.8612096733208
49,1736,67,3,0.16,5277.794823737093,2084.954823737093
50,503,141,4,0.26,3912.577140112309,1325.5371401123089
51,203,3,3,0.16,1495.6890720076776,631.3290720076776
52,573,26,2,0.33,3700.47238141606,1048.6123814160605
53,192,57,1,0.23,1150.6015204825405,341.33152048254044
54,5,126,1,0.02,1606.7632401298092,223.98324012980927
55,1914,152,4,0.07,1203.6479476896045,530.3279476896045
56,1261,53,3,0.35,3317.813332414536,853.013332414536
57,1717,198,3,0.23,4795.078719581293,449.96871958129276
58,311,43,4,0.38,5603.579991273707,1256.139991273707
59,549,188,1,0.03,1026.9183207324988,231.51832073249895
60,56,186,2,0.12,567.3992901917861,167.87929019178617
61,443,49,3,0.08,2200.9855402830326,379.38554028303247
62,1261,42,4,0.22,1108.6646359155561,338.0246359155562
63,870,194,2,0.15,1000.8067410094649,429.6067410094649
64,1885,11,4,0.06,2689.7509042951497,745.8309042951496
65,1221,103,4,0.26,4809.871812580515,1462.1118125805156
66,585,98,4,0.21,7405.968826348813,2353.1288263488127
67,1595,146,1,0.11,2136.5558039914536,581.7258039914536
68,752,85,1,0.19,2575.638278326515,1144.3682783265149
69,1538,100,4,0.3,5664.980736936214,2022.180736936214
70,1473,104,3,0.08,4423.101280716377,1850.7812807163768
71,360,180,2,0.12,1734.7644766067376,516.8444766067375
72,1724,46,3,0.14,5168.353843892647,2108.473843892647
73,819,44,1,0.3,456.22462609427146,147.5246260942715
74,30,22,2,0.34,245.73377667428298,82.05377667428299
75,1803,181,4,0.15,4245.966459736479,1481.7664597364792
76,108,187,3,0.12,3028.4462426433124,824.0462426433124
77,844,114,3,0.36,3630.9881518428742,1035.1481518428743
78,1959,125,4,0.4,3276.9391221745345,394.5391221745347
79,1626,124,3,0.27,2934.9083565702626,282.81835657026284
80,717,30,1,0.4,113.06652679770046,15.866526797700464
81,891,8,4,0.26,2398.224496190197,962.6244961901972
82,1992,98,3,0.29,4991.997974722459,1586.1279747224592
83,1983,57,4,0.16,5020.806634832904,1489.4466348329038
84,960,111,2,0.17,3054.1305799231045,1100.3105799231046
85,1469,73,4,0.06,8691.665884606467,3074.225884606468
86,893,115,3,0.33,2335.3494305503723,972.5694305503724
87,1462,20,1,0.37,1268.7161009525278,446.56610095252785
88,732,25,4,0.25,7988.316160339989,3116.316160339989
89,1914,19,4,0.14,5712.86277868329,1233.9827786832907
90,606,5,3,0.06,7677.293508775331,2812.793508775332
91,457,75,1,0.11,1585.9990589181166,598.9890589181165
92,615,128,1,0.1,1179.8354213945931,358.13542139459304
93,1759,72,2,0.25,1685.5089918690032,652.0089918690034
94,698,155,2,0.38,1735.9333820345728,734.0133820345728
95,1720,40,3,0.02,7713.106198451471,3350.14619845147
96,1519,26,1,0.0,2761.5465532955677,782.5465532955677
97,674,27,1,0.24,1315.1492908724708,339.30929087247085
98,1271,190,2,0.11,2681.7067059195347,310.7467059195345
99,543,83,2,0.35,1537.819313538736,178.01931353873596
100,1588,128,3,0.13,3421.52272204432,1038.5927220443198
101,857,178,1,0.12,2352.051599952753,1043.4915999527532
102,1612,170,4,0.11,5507.348210442839,1933.1082104428394
103,897,157,2,0.06,2574.0832061141678,985.483206114168
104,1463,167,3,0.23,4223.839913747091,1837.6099137470906
105,278,188,1,0.07,984.5711734857979,221.97117348579795
106,552,169,1,0.17,2559.4050285291037,1018.0950285291037
107,1637,33,2,0.18,2115.1995112152144,860.5995112152145
108,111,97,3,0.01,648.839533063286,191.459533063286
109,385,111,4,0.01,7285.757287045479,2624.8372870454787
110,1857,16,2,0.21,2139.234537142436,473.91453714243585
111,761,23,3,0.28,4747.112700008235,1932.6327000082351
112,1215,135,1,0.38,1008.8042179969991,383.2242179969992
113,1514,26,4,0.07,10272.953178259511,2911.0731782595117
114,694,96,3,0.04,609.8276633096766,74.14766330967664
115,1450,12,4,0.02,2531.9614764100456,783.6414764100457
116,405,72,3,0.17,2797.944926502545,1082.3349265025456
117,1359,133,3,0.25,844.3441580288641,212.094158028864
118,1233,106,3,0.34,2393.1941543649727,694.354154364973
119,22,117,3,0.27,5398.918331362875,1605.8383313628747
120,678,197,4,0.08,6221.24306344125,1348.9230634412502
121,611,177,2,0.18,2256.591469109276,693.6714691092759
122,1232,26,4,0.36,7069.559176436654,2003.3191764366534
123,8,133,3,0.13,979.4392233134822,246.02922331348225
124,702,22,4,0.2,595.7182464831103,198.91824648311032
125,1711,13,4,0.38,6572.1048181909755,2475.144818190976
126,1809,156,4,0.29,8378.962342766943,3704.3223427669436
127,529,161,3,0.3,1509.8939291650254,312.89392916502555
128,602,107,4,0.1,9749.475926402201,2700.675926402201
129,1677,23,1,0.17,1824.1220097253865,742.6320097253866
130,657,97,3,0.03,635.7316637084721,187.59166370847214
131,166,18,4,0.24,4225.600530912283,1605.120530912283
132,849,117,1,0.04,2366.6491315563285,703.9291315563286
133,496,30,4,0.33,505.03048636306204,70.87048636306207
134,590,26,2,0.33,3700.47238141606,1048.6123814160605
135,429,144,4,0.21,4319.521339197717,502.2413391977169
136,774,39,4,0.06,6252.237247896719,1713.9172478967196
137,163,161,2,0.01,1423.6142760698813,295.01427606988125
138,366,154,3,0.32,2835.173325908785,970.6133259087851
139,1550,176,2,0.24,3616.7445563060446,1140.6645563060447
140,1263,193,3,0.28,1870.6652075499487,464.5052075499487
141,72,166,2,0.12,1791.0533872062676,200.01338720626754
142,1469,130,4,0.2,2274.846927172208,511.6469271722079
143,655,113,4,0.3,5583.559172683472,1769.9591726834724
144,1846,134,3,0.19,2023.1053223431443,642.8653223431443
145,1533,46,3,0.24,4567.382466695827,1863.3024666958277
146,1819,50,1,0.32,445.0448813423104,155.36488134231044
147,269,166,1,0.09,926.0560127032406,103.4160127032406
148,1777,106,4,0.03,4689.693595422271,1360.6535954222707
149,415,146,4,0.21,7585.973416419094,2065.4534164190936
150,1269,155,1,0.02,1371.9473503176462,580.1073503176463
151,1016,169,1,0.31,2127.698156247086,846.3681562470862
152,675,72,3,0.29,2393.4227684539846,925.8527684539847
153,1084,74,2,0.35,2752.6979600335794,1065.2979600335793
154,6,17,3,0.26,2784.7350407158924,620.2350407158925
155,1733,190,1,0.03,1461.3794970460385,169.33949704603847
156,982,157,4,0.1,4929.095501069683,1887.0955010696835
157,570,186,1,0.32,219.22245302864462,64.86245302864465
158,1841,70,4,0.07,505.1803034876277,69.94030348762777
159,407,150,4,0.28,5195.6735080859935,1140.6335080859933
160,1241,6,4,0.31,804.7903763974755,324.5503763974756
161,1954,26,4,0.13,9610.182005468576,2723.262005468576
162,26,167,2,0.13,3181.5937012640425,1384.1737012640422
163,1839,140,1,0.22,535.6889152405774,201.0689152405774
164,1029,99,3,0.34,5906.19000788669,2098.6500078866907
165,986,142,4,0.09,8460.00926596274,1922.5692659627414
166,1556,22,4,0.38,461.6816410244105,154.1616410244105
167,390,51,3,0.24,6177.158152945515,1863.3981529455148
168,710,151,3,0.4,2174.5410844765247,736.341084476525
169,571,176,4,0.04,9137.038879088954,2881.678879088955
170,1472,199,3,0.05,6336.652969943588,2343.802969943588
171,754,104,3,0.33,3221.171584869535,1347.8515848695351
172,146,178,2,0.35,3474.6216817483855,1541.5216817483854
173,1412,89,3,0.18,5809.598522056563,904.3585220565625
174,785,141,1,0.29,938.4897869863984,317.94978698639835
175,1273,138,1,0.35,886.6921700648113,208.74217006481123
176,526,183,1,0.02,805.5016924418153,89.12169244181536
177,1486,9,4,0.23,5947.690924871447,1842.0509248714477
178,13,79,1,0.34,1266.602362093312,450.84236209331203
179,903,52,2,0.16,4188.318204855391,1065.1982048553905
180,384,130,1,0.12,625.5829049723571,140.70290497235717
181,556,153,4,0.32,2866.09060572414,1198.7306057241403
182,887,13,2,0.13,4611.073541795281,1736.5935417952815
183,1423,51,1,0.0,2709.2798916427696,817.2798916427696
184,19,186,2,0.38,399.7585908169402,118.27859081694025
185,575,34,2,0.24,544.9793122996473,157.37931229964732
186,1515,35,4,0.33,7427.481824490612,3160.9218244906124
187,751,131,4,0.33,5997.288715785048,1647.6487157850484
188,1004,120,2,0.03,3309.204756941597,618.4247569415974
189,419,187,1,0.07,1066.8390172948032,290.2890172948032
190,1361,70,4,0.12,478.0200721173252,66.18007211732521
191,419,176,2,0.13,4140.220742087183,1305.7607420871827
192,1939,192,3,0.26,1548.1687435239,171.76874352389999
193,1940,147,3,0.25,4017.167685724794,633.1676857247937
194,1636,67,4,0.2,6701.961680935991,2647.5616809359913
195,1699,103,1,0.08,1494.9601579642144,454.4401579642143
196,1952,73,3,0.15,5894.613831315557,2084.9138313155568
197,122,116,3,0.22,3824.745209658645,1077.585209658645
198,432,133,3,0.19,911.8916906711731,229.06169067117312
199,44,67,1,0.05,1989.6448740278722,785.9948740278724
200,1896,139,1,0.26,133.11074058545893,54.670740585458915
201,1944,121,4,0.03,8184.013570458864,2204.9335704588643
202,1341,94,4,0.15,1470.1904429034323,582.7904429034323
203,381,196,3,0.28,4151.768362206753,950.648362206753
204,145,197,1,0.01,1673.649628480119,362.8896284801189
205,1351,129,2,0.23,1368.833198940725,460.233198940725
206,363,91,3,0.13,2897.3677029641485,550.9777029641482
207,1074,92,4,0.0,4141.886531374832,633.886531374832
208,1089,63,1,0.08,1539.9443078341124,226.18430783411227
209,355,29,4,0.38,1170.4580806266933,218.1380806266933
210,800,12,4,0.21,2041.070986085649,631.7109860856491
211,1188,77,1,0.4,644.1771959014327,283.57719590143273
212,1165,41,3,0.21,2230.802089962525,363.2420899625247
213,1990,130,1,0.22,554.4939384982257,124.71393849822567
214,826,37,3,0.16,4102.771585553772,1416.4515855537716
215,1152,173,4,0.12,5552.086963732627,1894.8069637326269
216,398,176,1,0.1,2141.4934872864737,675.3934872864738
217,1957,24,2,0.14,1924.5101402428054,533.0301402428054
218,880,99,3,0.18,7337.993646162253,2607.4136461622525
219,463,150,2,0.08,3319.4580746104957,728.7380746104957
220,1775,100,3,0.09,5523.3562185128085,1971.626218512809
221,1860,139,1,0.11,160.0926474608898,65.75264746088978
222,808,58,2,0.18,1554.5430182957564,206.4630182957563
223,187,174,1,0.26,2161.072971716782,688.4729717167817
224,1744,29,3,0.34,934.4786288874405,174.15862888744059
225,732,163,3,0.11,1565.1470073904868,243.49700739048674
226,1936,143,3,0.07,1211.7230665795912,514.2230665795912
227,1214,60,3,0.15,368.0020314069788,33.95203140697883
228,1412,95,4,0.36,6239.1869723578475,2391.506972357847
229,429,42,3,0.0,1066.0236883803425,325.0236883803425
230,858,43,2,0.27,3298.881769056295,739.5017690562952
231,1308,74,3,0.19,5145.427725293537,1991.2877252935366
232,1888,177,1,0.06,1293.412183513853,397.5921835138532
233,237,192,4,0.13,2426.8591114698975,269.2591114698973
234,1218,160,2,0.09,2473.9283293211893,1007.008329321189
235,1311,64,4,0.35,1812.3947072315716,439.5947072315716
236,771,2,4,0.19,2604.337649164936,420.57764916493596
237,758,152,4,0.23,996.5687308827909,439.0887308827908
238,136,66,1,0.24,518.9170733002065,226.31707330020652
239,792,166,4,0.26,3012.2261512105406,336.38615121054085
240,1807,31,4,0.2,5782.203337465819,2255.8033374658185
241,171,115,3,0.01,3450.7402033505505,1437.0802033505506
242,159,26,1,0.13,2402.545501367144,680.815501367144
243,201,29,2,0.07,877.84356047002,163.60356047001997
244,1511,195,2,0.27,3309.7718154238482,1259.931815423848
245,1581,78,2,0.02,3690.8162690681124,1560.2962690681125
246,962,25,1,0.23,2050.3344811539305,799.8544811539306
247,1800,48,2,0.08,4826.192701878368,2097.4727018783683
248,583,65,1,0.38,1651.8795668615592,659.8795668615592
249,1528,181,3,0.13,3259.403664680062,1137.473664680062
250,876,67,3,0.13,5466.287496013418,2159.417496013418
251,371,90,1,0.37,1793.1636214737384,680.5836214737384
252,103,146,2,0.17,3985.0366681188907,1085.016668118891
253,1002,137,1,0.39,802.6394449212746,240.21944492127463
254,1149,38,1,0.01,1656.032390622258,717.512390622258
255,1337,87,4,0.12,5158.9014844952635,1554.4214844952635
256,976,149,1,0.27,2023.2009203811142,803.3709203811143
257,798,65,4,0.36,6820.664018009019,2724.6640180090185
258,1482,149,3,0.1,7483.071897300012,2971.371897300012
259,1254,27,4,0.37,4360.758174998193,1125.0781749981927
260,658,106,1,0.24,918.599776422919,266.519776422919
261,882,123,3,0.32,457.0804718624408,59.28047186244079
262,1221,198,4,0.16,6974.659955754608,654.4999557546076
263,1909,44,1,0.08,599.6095085810425,193.88950858104255
264,733,100,3,0.36,3884.5582196134037,1386.638219613404
265,423,28,4,0.37,1231.793062055424,536.2730620554239
266,572,173,1,0.2,1261.8379463028698,430.63794630286975
267,1634,17,1,0.0,1254.3851534756272,279.38515347562725
268,171,127,2,0.04,2688.0248685441943,301.4648685441943
269,1406,123,2,0.23,345.0509444451759,44.7509444451759
270,173,168,4,0.01,9165.167978273665,3704.327978273664
271,663,131,4,0.16,7518.988837700657,2065.7088377006576
272,453,76,4,0.12,1594.5466134921799,563.1866134921797
273,350,194,1,0.29,417.9839918333647,179.42399183336474
274,1926,46,4,0.02,7852.69266203844,3203.5726620384403
275,1976,158,1,0.2,1028.192260806292,130.59226080629216
276,1658,69,4,0.23,5152.617480873655,1635.2574808736551
277,494,137,1,0.25,986.8517765425509,295.3517765425508
278,620,85,1,0.16,2671.032288634904,1186.752288634904
279,1028,11,2,0.12,1259.0323381807084,349.1123381807083
280,1117,69,3,0.27,3663.7117802315925,1162.7317802315924
281,919,99,1,0.34,1968.7300026288967,699.5500026288968
282,6,91,4,0.28,3197.095396374232,607.9753963742324
283,288,194,2,0.37,741.7744080423093,318.4144080423093
284,1642,159,4,0.29,5918.8133386109275,1633.253338610928
285,1170,161,4,0.31,1984.4320211883191,411.23202118831927
286,1807,167,1,0.07,1700.5069782618157,739.8169782618156
287,1448,94,1,0.17,358.89943164995555,142.26943164995555
288,1914,174,3,0.19,7096.496380097,2260.7963800969997
289,608,165,1,0.1,443.5117506862154,119.5117506862154
290,457,115,1,0.21,917.8736567834798,382.2536567834798
291,1765,188,3,0.12,2794.911718282265,630.1117182822652
292,1226,31,4,0.28,5203.983003719236,2030.2230037192362
293,1236,11,3,0.19,1738.3230578290463,482.0130578290462
294,1030,87,3,0.18,3605.3686510961215,1086.3286510961218
295,624,121,3,0.39,3859.9857819432273,1039.9557819432273
296,376,130,2,0.16,1194.294636765409,268.6146367654091
297,1915,105,4,0.14,2085.081917026554,667.8019170265541
298,447,27,2,0.13,3010.999692260657,776.839692260657
299,835,2,2,0.36,1028.8741330034316,166.1541330034315
300,1130,103,1,0.2,1299.9653547514908,395.16535475149067
301,1675,101,3,0.24,4678.346010542664,1226.4260105426645
302,811,21,3,0.07,3078.1837407711937,949.4137407711939
303,1425,58,2,0.22,1478.7116515496218,196.39165154962186
304,1120,133,1,0.11,333.9850225091951,83.8950225091951
305,1412,180,1,0.29,699.8197604493089,208.49976044930887
306,959,173,1,0.33,1056.7892800286534,360.65928002865337
307,1476,85,4,0.29,9030.632975860866,4012.352975860866
308,849,93,2,0.29,3132.327924443737,887.3079244437371
309,809,20,4,0.2,6444.272258806491,2268.2722588064908
310,979,61,1,0.28,984.1050580837498,430.4250580837498
311,1925,38,1,0.17,1388.3907921378525,601.5507921378527
312,416,148,1,0.26,1327.7552579744834,577.3952579744832
313,726,25,3,0.1,7189.48454430599,2804.68454430599
314,1528,130,2,0.03,1379.125949598151,310.185949598151
315,454,121,3,0.17,5252.111801660457,1415.0218016604567
316,1315,160,4,0.18,4458.508197897528,1814.8281978975274
317,1558,26,3,0.1,7456.175693898033,2112.8756938980328
318,1217,198,2,0.29,2947.624147967721,276.6041479677211
319,150,169,3,0.03,8973.335702433364,3569.4657024333637
320,1904,67,1,0.09,1905.8703530161727,752.9003530161725
321,759,1,4,0.3,7523.995484781257,2131.195484781257
322,779,51,4,0.17,8994.809240253995,2713.369240253995
323,973,5,1,0.28,1960.1600447937017,718.1600447937018
324,763,13,1,0.23,2040.5325443576821,768.492544357682
325,1002,147,1,0.38,1106.9528733997208,174.47287339972092
326,1539,140,2,0.24,1043.906604058561,391.8266040585611
327,1417,48,3,0.01,7790.104524227583,3385.5945242275834
328,1340,153,4,0.14,3624.7616484158243,1516.0416484158245
329,76,57,3,0.06,4213.891282806187,1250.0712828061871
330,599,115,1,0.37,731.9751946501168,304.83519465011676
331,1294,35,1,0.04,2660.590504295145,1132.270504295145
332,225,76,3,0.16,1141.5504164773558,403.19041647735594
333,1554,94,4,0.09,1573.968591814263,623.9285918142629
334,113,5,2,0.34,3593.626748788453,1316.6267487884531
335,251,22,3,0.12,491.46755334856607,164.107553348566
336,1257,103,1,0.4,974.9740160636179,296.374016063618
337,841,185,1,0.02,3085.8869427159866,1272.8869427159868
338,1815,175,2,0.05,3953.807145726487,870.107145726487
339,714,182,3,0.09,5677.625955973339,2180.495955973339
340,1107,131,2,0.32,3043.400243831218,836.1202438312185
341,125,124,2,0.35,1742.1830427129414,167.88304271294143
342,1199,53,4,0.03,6601.59781013764,1697.2778101376407
343,1093,159,4,0.01,8252.993246795519,2277.3532467955197
344,1071,69,1,0.3,1171.049427471285,371.6494274712852
345,884,104,3,0.05,4567.332844217997,1911.1328442179977
346,1280,161,4,0.05,2732.18901467957,566.18901467957
347,1751,200,1,0.01,1524.7719360111332,180.3519360111333
348,30,178,3,0.02,7857.990572569425,3486.210572569425
349,281,16,1,0.11,1205.0118595295999,266.9518595295999
350,924,116,4,0.03,6341.8852194339925,1786.7652194339926
351,1261,76,1,0.15,385.0467674626002,135.99676746260022
352,1272,109,3,0.33,6316.7497029322485,2517.8497029322493
353,368,39,3,0.13,4339.983834311287,1189.7138343112867
354,495,89,1,0.29,1676.7540449838045,261.0140449838046
355,1049,174,3,0.04,8410.66237641126,2679.4623764112584
356,1610,112,1,0.26,1028.7399870415188,392.33998704151884
357,718,47,3,0.13,8057.314144632598,3296.6741446325977
358,1514,172,1,0.3,1204.1623536936042,380.96235369360437
359,1017,137,1,0.05,1250.012250287231,374.112250287231
360,1518,128,1,0.36,838.9940774361551,254.67407743615507
361,1338,178,2,0.1,4811.014636266995,2134.414636266995
362,606,77,3,0.14,2769.961942376161,1219.3819423761609
363,375,188,4,0.38,2625.5231292954613,591.9231292954613
364,639,15,1,0.23,957.5238520468255,158.26385204682543
365,1961,36,2,0.15,3197.9474507494997,1205.5474507494996
366,1049,63,4,0.38,4151.154221118042,609.7142211180418
367,1358,69,1,0.13,1455.4471455714545,461.9071455714545
368,1379,169,4,0.04,11841.10278259248,4710.22278259248
369,116,74,2,0.4,2540.9519631079193,983.3519631079192
370,48,24,4,0.11,3983.2884298048766,1103.2484298048764
371,1762,49,1,0.34,526.3226291981164,90.72262919811644
372,1802,146,4,0.07,8930.323135784502,2431.4831357845023
373,99,7,4,0.29,8057.370147713796,2579.0101477137955
374,1483,4,1,0.21,795.7922570961764,293.3522570961764
375,1547,90,2,0.39,3472.4755844412075,1317.9555844412077
376,1621,197,2,0.22,2637.2660812413997,571.8260812413995
377,405,60,4,0.01,571.48550759672,52.72550759672007
378,1238,55,3,0.24,1140.7812096733207,424.8612096733208
379,685,16,4,0.06,5090.836620035164,1127.7966200351636
380,903,29,3,0.32,962.7961630961508,179.43616309615092
381,503,151,4,0.34,3189.326923898903,1079.9669238989031
382,1745,14,2,0.19,1406.2137468948126,209.03374689481265
383,1472,79,4,0.31,5296.7007869356685,1885.3407869356686
384,894,177,4,0.06,5173.648734055412,1590.3687340554127
385,1600,33,3,0.2,3095.4139188515337,1259.4139188515335
386,258,153,2,0.16,1770.232432947263,740.3924329472632
387,844,21,3,0.24,2515.50499245818,775.86499245818
388,121,145,4,0.02,1134.6452563307712,170.3252563307711
389,810,23,1,0.3,1538.4161527804465,626.3161527804466
390,978,57,4,0.03,5797.836233080853,1719.956233080853
391,54,186,4,0.26,954.2624425952768,282.34244259527674
392,1019,142,3,0.01,6902.809758216852,1568.6897582168522
393,1355,93,1,0.33,1477.9293728009181,418.65937280091816
394,784,20,1,0.07,1872.8666252156363,659.2166252156363
395,241,158,3,0.21,3046.0195726386405,386.87957263864047
396,1779,19,2,0.1,2989.2886632645127,645.6886632645126
397,1554,181,1,0.29,886.6577018861472,309.42770188614713
398,483,103,1,0.13,1413.712323292246,429.7423232922461
399,1013,184,3,0.29,581.0178032815719,244.477803281572
400,187,77,2,0.11,1911.059014507584,841.2790145075838
401,1882,151,2,0.3,1691.3097323706304,572.7097323706305
402,656,190,4,0.01,5966.0441322704255,691.3241322704251
403,262,33,4,0.11,4591.530646296441,1868.1306462964412
404,953,18,3,0.2,3336.000419141276,1267.2004191412761
405,1388,73,2,0.02,4530.76200367784,1602.5220036778396
406,491,161,3,0.07,2006.001934462105,415.7019344621053
407,431,160,4,0.37,3425.439225213954,1394.319225213954
408,239,189,3,0.39,3248.045295158908,982.5052951589083
409,304,182,3,0.3,4367.4045815179525,1677.3045815179526
410,298,17,1,0.1,1128.9466381280645,251.44663812806454
411,76,19,1,0.1,1494.6443316322564,322.8443316322563
412,1724,70,1,0.26,100.4928560701195,13.912856070119505
413,1357,120,4,0.05,6481.947462050552,1211.3474620505515
414,1924,101,3,0.38,3816.545429653226,1000.5054296532263
415,999,34,1,0.09,326.2705093372889,94.22050933728887
416,1782,84,1,0.4,843.575823472455,285.575823472455
417,642,153,1,0.2,842.9678252129825,352.5678252129825
418,1498,196,4,0.31,5305.037351708628,1214.7173517086287
419,827,74,4,0.0,8469.839877026398,3277.8398770263975
420,1947,88,3,0.36,390.00144678010054,94.32144678010054
421,283,85,3,0.11,8490.06691744666,3772.1769174466594
422,591,11,3,0.27,1566.6368298953132,434.4068298953132
423,72,91,1,0.32,754.8697463661382,143.5497463661382
424,1287,144,2,0.07,2542.5030667429596,295.6230667429599
425,703,189,4,0.18,5821.633097334,1760.9930973339997
426,1903,127,1,0.2,1120.0103618934143,125.61036189341431
427,1911,113,1,0.12,1754.832882843377,556.272882843377
428,1966,80,3,0.19,820.4953903885929,302.90539038859293
429,575,7,3,0.13,7404.836649835565,2370.1466498355658
430,1000,16,1,0.14,1164.3934822420854,257.95348224208533
431,892,16,4,0.27,3953.522055984755,875.8420559847548
432,12,168,4,0.25,6943.309074449746,2806.3090744497454
433,141,12,1,0.09,587.776771309475,181.9167713094749
434,1790,35,2,0.36,3547.45400572686,1509.69400572686
435,1579,21,2,0.35,1434.2791623665062,442.37916236650614
436,17,178,4,0.2,8552.914908919103,3794.5149089191023
437,1087,171,3,0.17,4203.555189634009,844.5451896340094
438,253,17,2,0.15,2132.454760908566,474.9547609085663
439,465,32,2,0.28,1257.7775299806594,161.9375299806595
440,376,41,3,0.27,2061.374083129928,335.65408312992787
441,1828,134,2,0.08,1531.8986802927514,486.7786802927512
442,981,27,1,0.27,1263.2355030748733,325.9155030748733
443,520,148,2,0.1,3229.6749518298243,1404.4749518298242
444,1861,153,3,0.01,3129.5180511031976,1308.9080511031973
445,90,66,1,0.28,491.6056483896693,214.40564838966932
446,720,137,2,0.26,1947.3875057106336,582.8275057106335
447,804,92,4,0.16,3479.1846863548585,532.4646863548588
448,796,181,1,0.21,986.5627950564173,344.2927950564173
449,630,61,1,0.38,847.4238000165623,370.6438000165623
450,1885,166,4,0.24,3093.6376688108257,345.4776688108257
451,1199,3,4,0.26,1756.8411321994945,741.5611321994944
452,76,198,2,0.03,4027.0358077868864,377.89580778688656
453,1637,103,2,0.07,3022.4194497972157,918.7594497972158
454,926,55,3,0.12,1320.904558569108,491.94455856910827
455,1687,1,3,0.22,6287.91051228148,1781.0705122814793
456,400,101,1,0.31,1415.8152400326483,371.15524003264846
457,1806,198,4,0.13,7223.754954174415,677.874954174415
458,970,45,4,0.14,2400.1244153286884,422.12441532868837
459,1095,175,3,0.1,5618.568049190271,1236.4680491902711
460,1204,26,1,0.1,2485.391897966011,704.291897966011
461,1148,121,1,0.38,1307.7547457949731,352.3347457949732
462,1405,142,3,0.25,5229.4013319824635,1188.4013319824637
463,1317,182,3,0.06,5864.800438038394,2252.3804380383935
464,797,199,3,0.29,4735.814324905207,1751.6843249052079
465,195,46,2,0.29,2844.597852064945,1160.4778520649452
466,1935,122,1,0.27,2464.419932597602,1058.4399325976021
467,228,31,1,0.05,1716.5916158101647,669.6916158101648
468,1455,59,1,0.16,1397.3751981608532,186.93519816085322
469,1966,29,3,0.04,1359.2416420180955,253.32164201809545
470,1460,106,3,0.33,2429.454671855351,704.8746718553515
471,1811,17,3,0.26,2784.7350407158924,620.2350407158925
472,461,142,3,0.2,5578.028087447961,1267.6280874479614
473,618,164,4,0.14,6449.608515119751,756.4085151197513
474,1045,186,3,0.07,899.4568293381155,266.12682933811556
475,64,24,2,0.04,2148.290389108248,595.0103891082479
476,165,109,4,0.39,7668.094166743626,3056.4941667436265
477,27,191,4,0.08,3902.031588688683,1602.0315886886829
478,1335,91,3,0.02,3263.7015504653623,620.6415504653622
479,1012,25,1,0.38,1650.9186731369311,644.038673136931
